symbol,organ_name
PRC,CTCP Logistics Portserco
VRC,CTCP Bất động sản và Đầu tư VRC
FRT,CTCP Bán lẻ Kỹ thuật số FPT
SKH,CTCP Nước giải khát Sanest Khánh Hòa
PMG,CTCP Đầu tư và Sản xuất Petro Miền Trung
SAV,CTCP Hợp tác Kinh tế và Xuất nhập khẩu Savimex
CMT,CTCP Công nghệ Mạng và Truyền thông
TNP,CTCP Cảng Thị Nại
AMS,CTCP Cơ khí Xây dựng AMECC
BMV,CTCP Bột mỳ Vinafood 1
BMF,CTCP Vật liệu Xây dựng và Chất đốt Đồng Nai
HHP,CTCP HHP Global
CDR,CTCP Xây dựng Cao su Đồng Nai
QNS,CTCP Đường Quảng Ngãi
SDA,CTCP Simco Sông Đà
CT3,CTCP Đầu tư và Xây dựng Công trình 3
SSB,Ngân hàng TMCP Đông Nam Á
PGI,Tổng Công ty cổ phần Bảo hiểm Petrolimex
PET,Tổng Công ty cổ phần Dịch vụ Tổng hợp Dầu khí
TGP,CTCP Trường Phú
ONE,CTCP Công nghệ One
SAC,CTCP Xếp dỡ và Dịch vụ Cảng Sài Gòn
HVN,Tổng Công ty Hàng không Việt Nam - CTCP
KLB,Ngân hàng TMCP Kiên Long
TV3,CTCP Tư vấn Xây dựng Điện 3
ITS,CTCP Đầu tư Thương mại và Dịch vụ - Vinacomin
HOT,CTCP Du lịch - Dịch vụ Hội An
AGP,CTCP Dược phẩm Agimexpharm
L14,CTCP Licogi 14
TDP,CTCP Thuận Đức
QSP,CTCP Tân Cảng Quy Nhơn
VIM,CTCP Khoáng sản Viglacera
POB,CTCP Xăng dầu Dầu khí Hưng Yên
PLP,CTCP Sản xuất và Công nghệ Nhựa Pha Lê
FRM,CTCP Lâm Nghiệp Sài Gòn
CMN,CTCP Lương thực Thực phẩm Colusa - Miliket
PEG,Tổng Công ty Thương mại Kỹ thuật và Đầu tư - CTCP
TOP,CTCP Phân phối Top One
EIN,CTCP Đầu tư - Thương mại - Dịch vụ Điện Lực
SJE,CTCP Sông Đà 11
EME,CTCP Điện cơ
BHC,CTCP Bê tông Biên Hòa
BVN,CTCP Bông Việt Nam
HTG,Tổng Công ty cổ phần Dệt may Hòa Thọ
SBR,CTCP Cao su Sông Bé
HLT,CTCP Dệt may Hoàng Thị Loan
LAW,CTCP Cấp thoát nước Long An
CRC,CTCP Create Capital Việt Nam
TDM,CTCP Nước Thủ Dầu Một
CEO,CTCP Tập đoàn C.E.O
DKG,CTCP Tập đoàn Damik
SCR,CTCP Địa ốc Sài Gòn Thương Tín
HMH,CTCP Hải Minh
PVO,CTCP Dầu nhờn PV Oil
CSI,CTCP Chứng khoán Kirin
NTP,CTCP Nhựa Thiếu niên Tiền Phong
HHN,CTCP Vận tải và Dịch vụ Hàng hóa Hà Nội
ANI,CTCP ANI
NDT,Tổng Công ty cổ phần Dệt May Nam Định
THN,CTCP Cấp nước Thanh Hóa
SD3,CTCP Sông Đà 3
AGF,CTCP Xuất nhập khẩu Thủy sản An Giang
DHM,CTCP Đầu tư và Thương mại DHM
STS,CTCP Dịch vụ Vận tải Sài Gòn
EVE,CTCP Everpia
HBC,CTCP Tập đoàn Xây dựng Hòa Bình
TLD,CTCP Đầu tư Xây dựng và Phát triển Đô thị Thăng Long
HSM,Tổng Công ty cổ phần Dệt may Hà Nội
CFM,CTCP CFM Private Equity
VCS,CTCP Vicostone
VTI,CTCP Sản xuất - Xuất nhập khẩu Dệt may
G20,CTCP Đầu tư Dệt may Vĩnh Phúc
NCG,CTCP Đầu tư Anova Agri
SPB,CTCP Sợi Phú Bài
LDW,CTCP Cấp thoát nước Lâm Đồng
CDG,CTCP Cầu Đuống
HDP,CTCP Dược Hà Tĩnh
SVD,CTCP Đầu tư & Thương mại Vũ Đăng
BWE,CTCP - Tổng công ty nước - môi trường Bình Dương
PCC,CTCP Tập đoàn Xây lắp 1 - Petrolimex
TRC,CTCP Cao su Tây Ninh
NSH,CTCP Tập Đoàn Nhôm Sông Hồng Shalumi
SDG,CTCP Sadico Cần Thơ
LHC,CTCP Đầu tư và Xây dựng Thủy lợi Lâm Đồng
DP3,CTCP Dược phẩm Trung ương 3
IJC,CTCP Phát triển Hạ tầng Kỹ thuật
DHN,CTCP Dược phẩm Hà Nội
YTC,CTCP Xuất nhập khẩu Y tế Thành phố Hồ Chí Minh
YBM,CTCP YBM
DVW,CTCP Dịch vụ và Xây dựng Cấp nước Đồng Nai
VSM,CTCP Container Miền Trung
CPH,CTCP Phục vụ Mai táng Hải Phòng
DTK,Tổng Công ty Điện lực TKV - CTCP
CET,CTCP HTC Holding
LSG,CTCP Bất động sản Sài Gòn Vina
NSS,CTCP Nông Súc Sản Đồng Nai
HAD,CTCP Bia Hà Nội - Hải Dương
TNT,CTCP Tập đoàn TNT
TAB,CTCP Freco Việt Nam
DBT,CTCP Dược phẩm Bến Tre
UEM,CTCP Cơ điện Uông Bí - Vinacomin
PPC,CTCP Nhiệt điện Phả Lại
MA1,CTCP Thiết bị
VTM,CTCP Vận tải và Đưa đón thợ mỏ - VINACOMIN
DP1,CTCP Dược phẩm Trung ương CPC1
HEV,CTCP Sách Đại học - Dạy nghề
CGV,CTCP Vinaceglass
HU6,CTCP Đầu tư Phát triển Nhà và Đô thị HUD6
SJD,CTCP Thủy điện Cần Đơn
ABR,CTCP Đầu tư Nhãn hiệu Việt
PEQ,CTCP Thiết bị Xăng dầu Petrolimex
SSC,CTCP Giống cây trồng Miền Nam
CLH,CTCP Xi măng La Hiên VVMI
TAR,CTCP Nông nghiệp Công nghệ cao Trung An
NVB,Ngân hàng TMCP Quốc Dân
CLW,CTCP Cấp nước Chợ Lớn
HES,CTCP Dịch vụ Giải trí Hà Nội
TDG,CTCP Đầu tư TDG Global
VBH,CTCP Điện tử Bình Hòa
PCT,CTCP Vận tải biển Global Pacific
BWS,CTCP Cấp nước Bà Rịa - Vũng Tàu
SII,CTCP Hạ tầng Nước Sài Gòn
HKB,CTCP Nông nghiệp và Thực phẩm Hà Nội - Kinh Bắc
ACB,Ngân hàng TMCP Á Châu
DRG,CTCP Cao su Đắk Lắk
TMS,CTCP Transimex
BMG,CTCP May Bình Minh
LM3,CTCP Lilama 3
VIN,CTCP Giao nhận Kho vận Ngoại Thương Việt Nam
BLT,CTCP Lương thực Bình Định
HPT,CTCP Dịch vụ Công nghệ Tin học HPT
TQW,CTCP Cấp thoát nước Tuyên Quang
NDX,CTCP Xây lắp Phát triển Nhà Đà Nẵng
ICF,CTCP Đầu tư Thương mại Thủy sản
PSI,CTCP Chứng khoán Dầu khí
VIW,Tổng Công ty Đầu tư Nước và Môi trường Việt Nam
NDC,CTCP Nam Dược
PIS,Tổng Công ty Pisico Bình Định - CTCP
SPV,CTCP Thủy Đặc sản
KOS,CTCP KOSY
M10,Tổng Công ty May 10 - CTCP
MSH,CTCP May Sông Hồng
CHP,CTCP Thủy điện Miền Trung
CAD,CTCP Chế biến và Xuất nhập khẩu Thủy sản Cadovimex
TDS,CTCP Thép Thủ Đức - VNSTEEL
SGC,CTCP Xuất nhập khẩu Sa Giang
PMS,CTCP Cơ khí Xăng dầu
BPC,CTCP VICEM Bao bì Bỉm Sơn
TVN,Tổng Công ty Thép Việt Nam - CTCP
ART,CTCP Chứng khoán ARTEX
SHC,CTCP Hàng hải Sài Gòn
ADP,CTCP Sơn Á Đông
HPA,CTCP Phát triển Nông nghiệp Hòa Phát
SDP,CTCP SDP
HSV,CTCP Tập đoàn HSV Việt Nam
TCX,CTCP Chứng khoán Kỹ Thương
CTX,Tổng Công ty cổ phần Đầu tư Xây dựng và Thương mại Việt Nam
TTT,CTCP Du lịch - Thương mại Tây Ninh
DAH,CTCP Tập đoàn Khách sạn Đông Á
AAN,CTCP Lương thực A An
DFF,CTCP Tập đoàn Đua Fat
VHH,CTCP Đầu tư Kinh doanh Nhà Thành Đạt
VMG,CTCP Thương mại và Dịch vụ Dầu khí Vũng Tàu
PTC,CTCP Đầu Tư Icapital
HPD,CTCP Thủy điện ĐăK Đoa
C69,CTCP Xây dựng 1369
HLC,CTCP Than Hà Lầm - Vinacomin
PGB,Ngân hàng TMCP Thịnh vượng và Phát triển
BHH,CTCP Bia Hà Nội - Hưng Yên 89
ACL,CTCP Xuất nhập khẩu Thủy sản Cửu Long An Giang
SDU,CTCP Đầu tư Xây dựng và Phát triển Đô thị Sông Đà
TRA,CTCP Traphaco
D11,CTCP Địa ốc 11
VSA,CTCP Đại lý Hàng hải Việt Nam
LCD,CTCP Lắp máy - Thí nghiệm Cơ điện
TBD,Tổng Công ty Thiết bị Điện Đông Anh - CTCP
PEN,CTCP Xây lắp III Petrolimex
MSB,Ngân hàng TMCP Hàng hải Việt Nam
NBT,CTCP Cấp thoát nước Bến Tre
ILA,CTCP ILA
UDL,CTCP Đô thị và Môi trường Đắk Lắk
NUE,CTCP Môi trường Đô thị Nha Trang
VPG,CTCP Đầu tư Thương mại Xuất nhập khẩu Việt Phát
SCL,CTCP Sông Đà Cao Cường
TJC,CTCP Dịch vụ Vận tải và Thương mại
DHB,CTCP Phân đạm và Hóa chất Hà Bắc
BKG,CTCP Đầu tư BKG Việt Nam
NST,CTCP Ngân Sơn
PTE,CTCP Xi măng Phú Thọ
MAS,CTCP Dịch vụ Hàng không Sân bay Đà Nẵng
L43,CTCP Lilama 45.3
CIG,CTCP COMA 18
SPI,CTCP Spiral Galaxy
KST,CTCP KASATI
SBG,CTCP Tập đoàn Cơ khí Công nghệ cao Siba
PTL,CTCP Victory Group
SGP,CTCP Cảng Sài Gòn
TDT,CTCP Đầu tư và Phát triển TDT
DGW,CTCP Thế Giới Số
CMG,CTCP Tập đoàn Công nghệ CMC
FT1,CTCP Phụ tùng Máy số 1
MPC,CTCP Tập đoàn Thủy sản Minh Phú
TSC,CTCP Vật tư Kỹ thuật nông nghiệp Cần Thơ
NHV,CTCP Sức Khỏe Hồi Sinh Việt Nam
TSG,CTCP Thông tin Tín hiệu Đường sắt Sài Gòn
HAF,CTCP Thực phẩm Hà Nội
WSB,CTCP Bia Sài Gòn - Miền Tây
LAI,CTCP Đầu Tư Xây dựng Long An IDICO
CST,CTCP Than Cao Sơn - TKV
CTP,CTCP Tập đoàn CTP Group
MH3,CTCP Khu Công nghiệp Cao su Bình Long
SIP,CTCP Đầu tư Sài Gòn VRG
VC9,CTCP Xây dựng số 9 - VC9
PIC,CTCP Đầu tư Điện lực 3
APF,CTCP Nông sản Thực phẩm Quảng Ngãi
DLT,CTCP Du lịch và Thương mại - Vinacomin
DOP,CTCP Vận tải Xăng dầu Đồng Tháp
FIC,Tổng Công ty Vật liệu Xây dựng số 1 - CTCP
CT6,CTCP Công trình 6
MBS,CTCP Chứng khoán MB
NDW,CTCP Cấp nước Nam Định
SHA,CTCP Sơn Hà Sài Gòn
HAT,CTCP Thương mại Bia Hà Nội
HUG,Tổng Công ty May Hưng Yên - CTCP
PSH,CTCP Thương mại Đầu tư Dầu khí Nam Sông Hậu
PNT,CTCP Kỹ thuật Xây dựng Phú Nhuận
VBG,CTCP Địa chất Việt Bắc - TKV
HPX,CTCP Đầu tư Hải Phát
QTC,CTCP Công trình Giao thông Vận tải Quảng Nam
BLN,CTCP Vận tải và Dịch vụ Liên Ninh
SSI,CTCP Chứng khoán SSI
LIG,CTCP Licogi 13
HRC,CTCP Cao su Hòa Bình
NGC,CTCP Chế biến Thủy sản xuất khẩu Ngô Quyền
PFL,CTCP Dầu khí Đông Đô
EID,CTCP Đầu tư và Phát triển Giáo dục Hà Nội
ECI,CTCP Tập Đoàn ECI
BIC,Tổng Công ty cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam
LQN,CTCP Licogi Quảng Ngãi
ILS,CTCP Đầu tư Thương mại và Dịch vụ Quốc tế
BQB,CTCP Bia Hà Nội - Quảng Bình
VCM,CTCP BV Life
BSL,CTCP Bia Sài Gòn - Sông Lam
MRF,CTCP Merufa
MGG,Tổng Công ty Đức Giang - CTCP
CAP,CTCP Lâm Nông sản Thực phẩm Yên Bái
IPA,CTCP Tập đoàn Đầu tư I.P.A
MDF,CTCP Gỗ MDF VRG - Quảng Trị
SPM,CTCP SPM
DDN,CTCP Dược và Thiết bị Y tế Đà Nẵng
BGW,CTCP Nước sạch Bắc Giang
MKV,CTCP Dược thú Y Cai Lậy
BMJ,CTCP Khoáng sản Miền Đông AHP
TMW,CTCP Tổng hợp Gỗ Tân Mai
VNC,CTCP Tập đoàn Vinacontrol
PIT,CTCP Xuất nhập khẩu Petrolimex
SMC,CTCP Đầu tư Thương mại SMC
SEB,CTCP Đầu tư và Phát triển Điện Miền Trung
MHC,CTCP MHC
LCM,CTCP Khai thác và Chế biến khoáng sản Lào Cai
CKG,CTCP Tập đoàn CIC
PCE,CTCP Phân bón và Hóa chất Dầu khí Miền Trung
QNU,CTCP Môi trường Đô thị Quảng Nam
BOT,CTCP BOT Cầu Thái Hà
KHX,CTCP Phát hành sách Khánh Hòa
VKC,CTCP VKC Holdings 
VVN,Tổng Công ty cổ phần Xây dựng Công nghiệp Việt Nam
DSN,CTCP Công viên nước Đầm Sen
TYA,CTCP Dây và Cáp Điện Taya Việt Nam
TSJ,CTCP Du lịch Dịch vụ Hà Nội
BMC,CTCP Khoáng sản Bình Định
ICT,CTCP Viễn thông - Tin học Bưu điện
TAL,CTCP Đầu tư Bất động sản Taseco
VIE,CTCP Công nghệ Viễn thông VITECO
STB,Ngân hàng TMCP Sài Gòn Tài Lộc
HTN,CTCP Hưng Thịnh Incons
HNR,CTCP Rượu và Nước giải khát Hà Nội
PTS,CTCP Vận tải và Dịch vụ Petrolimex Hải Phòng
BWA,CTCP Cấp thoát nước và Xây dựng Bảo Lộc
DDB,CTCP Thương mại và Xây dựng Đông Dương
DCV,CTCP Quản lý Quỹ Đầu tư Dragon Capital Việt Nam
TVM,CTCP Tư vấn Đầu tư mỏ và Công Nghiệp - Vinacomin
PVS,Tổng Công ty cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam
PRO,CTCP Procimex Việt Nam
TS3,CTCP Trường Sơn 532
DID,CTCP DIC - Đồng Tiến
S74,CTCP Sông Đà 7.04
HEJ,Tổng Công ty Tư vấn Xây dựng Thủy lợi Việt Nam - CTCP
DMC,CTCP Xuất nhập khẩu Y Tế DOMESCO
BNW,CTCP Nước sạch Bắc Ninh
ACE,CTCP Bê tông Ly tâm An Giang
CQT,CTCP Xi măng Quán Triều VVMI
CTT,CTCP Chế tạo Máy - Vinacomin
SDC,CTCP Tư vấn Sông Đà
PPH,Tổng Công ty cổ phần Phong Phú
S55,CTCP Sông Đà 505
TMT,CTCP Ô tô TMT
CNN,"CTCP Tư vấn Công nghệ, Thiết bị và Kiểm Định Xây dựng - Coninco"
KBC,Tổng Công ty Phát triển Đô thị Kinh Bắc - CTCP
PMC,CTCP Dược phẩm Dược liệu Pharmedic
CAR,CTCP Tập đoàn Giáo dục Trí Việt
PPP,CTCP Dược phẩm Phong Phú
PDV,CTCP Vận Tải Và Tiếp Vận Phương Đông Việt
CTF,CTCP City Auto
PRE,Tổng Công ty cổ phần Tái bảo hiểm Hà Nội
DRH,CTCP DRH Holdings
VCG,Tổng Công ty cổ phần Xuất nhập khẩu và Xây dựng Việt Nam
SZB,CTCP Sonadezi Long Bình
RCL,CTCP Địa ốc Chợ Lớn
SKN,CTCP Nước giải khát Sanna Khánh Hòa
QNP,CTCP Cảng Quy Nhơn
HTI,CTCP Đầu tư Phát triển Hạ tầng IDICO
GH3,CTCP Công trình Giao thông Hà Nội
LIX,CTCP Bột Giặt Lix
DPP,CTCP Dược Đồng Nai
BTW,CTCP Cấp nước Bến Thành
VPW,CTCP Cấp thoát nước Số 1 Vĩnh Phúc
VLG,CTCP VIMC Logistics
AMV,CTCP Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ
RBC,CTCP Công nghiệp và Xuất nhập khẩu Cao su
SVN,CTCP Tập đoàn Vexilla Việt Nam
TTB,CTCP TTBGroup
ACV,Tổng Công ty Cảng Hàng không Việt Nam - CTCP
SDK,CTCP Cơ khí Luyện kim
TDW,CTCP Cấp nước Thủ Đức
TVB,CTCP Chứng khoán T-Cap
HAV,CTCP Rượu Hapro
DHG,CTCP Dược Hậu Giang
HBD,CTCP Bao Bì PP Bình Dương
HVT,CTCP Hóa chất Việt Trì
MVN,Tổng Công ty Hàng hải Việt Nam - CTCP
PWS,CTCP Cấp thoát nước Phú Yên
BID,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam
ACS,CTCP Xây lắp Thương mại 2
ATA,CTCP Ntaco
BSQ,CTCP Bia Sài Gòn - Quảng Ngãi
SNZ,Tổng Công ty cổ phần Phát triển Khu Công nghiệp
SAL,CTCP Trục vớt Cứu hộ Việt Nam
HFB,CTCP Công trình Cầu phà Thành phố Hồ Chí Minh
GDA,CTCP Tôn Đông Á
AVG,CTCP Phân bón Quốc tế Âu Việt
DCM,CTCP - Tổng công ty Phân bón Dầu khí Cà Mau
DRI,CTCP Đầu tư Cao su Đắk Lắk
VHG,CTCP Đầu tư Phát triển Việt Trung Nam
IDI,CTCP Đầu tư và Phát triển Đa Quốc Gia - IDI
VHC,CTCP Vĩnh Hoàn
EVF,Công ty Tài chính Tổng hợp Cổ phần Điện lực
CSV,CTCP Hóa chất Cơ bản Miền Nam
RAT,CTCP Vận tải và Thương mại Đường sắt
MBG,CTCP Tập đoàn MBG
NAB,Ngân hàng TMCP Nam Á
THS,CTCP Thanh Hoa - Sông Đà
SAB,Tổng Công ty cổ phần Bia - Rượu - Nước giải khát Sài Gòn
BRR,CTCP Cao su Bà Rịa
TH1,CTCP Xuất nhập khẩu Tổng hợp I Việt Nam
TXM,CTCP VICEM Thạch cao Xi măng
TED,Tổng công ty Tư vấn thiết kế Giao thông vận tải - CТСР
TN1,CTCP Rox Key Holdings
CQN,CTCP Cảng Quảng Ninh
ECO,CTCP Nhựa sinh thái Việt Nam
MTB,CTCP Môi trường và Công trình Đô thị Thái Bình
SHE,CTCP Phát triển Năng lượng Sơn Hà
BTP,CTCP Nhiệt điện Bà Rịa
AAT,CTCP Tập Đoàn Tiên Sơn Thanh Hóa 
PBP,CTCP Bao bì Dầu khí Việt Nam
CMP,CTCP Cảng Chân Mây
NSL,CTCP Cấp nước Sơn La
IBD,CTCP In Tổng hợp Bình Dương
SGT,CTCP Công nghệ Viễn Thông Sài Gòn
KVC,CTCP Sản xuất Xuất nhập khẩu Inox Kim Vĩ
VMS,CTCP Phát triển Hàng Hải
SMN,CTCP Sách và Thiết bị Giáo dục Miền Nam
IDP,CTCP Sữa Quốc tế Lof
CHC,CTCP Cẩm Hà
HSA,CTCP Hestia
FGL,CTCP Cà phê Gia Lai
HNP,CTCP Hanel Xốp nhựa
ICG,CTCP Xây dựng Sông Hồng
MCH,CTCP Hàng tiêu dùng Masan
NAC,CTCP Tư vấn Xây dựng Tổng hợp
PMT,CTCP Viễn thông TELVINA Việt Nam
SHN,CTCP Đầu tư Tổng hợp Hà Nội
BCF,CTCP Thực phẩm Bích Chi
TNH,CTCP Tập đoàn Bệnh viện TNH
BCB,CTCP 397
HMR,CTCP Đá Hoàng Mai
BCE,CTCP Xây dựng và Giao thông Bình Dương
CMF,CTCP Thực phẩm Cholimex
MTV,CTCP Dịch vụ Môi trường và Công trình Đô thị Vũng Tàu
VCA,CTCP Thép VICASA
SSH,CTCP Phát triển Sunshine Homes
ABT,CTCP Xuất nhập khẩu Thủy sản Bến Tre
CTD,CTCP Xây dựng Coteccons
HLY,CTCP Gốm Xây Dựng Yên Hưng
NBP,CTCP Nhiệt điện Ninh Bình
PVV,CTCP Vinaconex 39
MVB,Tổng Công ty Công nghiệp mỏ Việt Bắc TKV - CTCP
PVD,Tổng Công ty cổ phần Khoan và Dịch vụ khoan Dầu khí
HAC,CTCP Chứng khoán Hải Phòng
ASP,CTCP Tập đoàn Dầu khí An Pha
TW3,CTCP Dược Trung ương 3
QCC,CTCP Đầu tư Xây dựng và Phát triển Hạ tầng Viễn thông
SID,CTCP Đầu tư Phát triển Sài Gòn Co.op
TCH,CTCP Đầu tư Dịch vụ Tài chính Hoàng Huy
X77,CTCP Thành An 77
DHA,CTCP Hóa An
DS3,CTCP DS3
THD,CTCP Thaiholdings
PC1,CTCP Tập Đoàn PC1
AG1,CTCP 28.1
L10,CTCP Lilama 10
VTJ,CTCP Thương mại và Đầu tư VI NA TA BA
HAS,CTCP Hacisco
PTB,CTCP Phú Tài
TT6,CTCP Tập đoàn Tiến Thịnh
SJG,Tổng Công ty Sông Đà - CTCP
AGM,CTCP Xuất Nhập khẩu An Giang
VSG,CTCP Container Phía Nam
VEC,Tổng Công ty cổ phần Điện tử và Tin học Việt Nam
DNE,CTCP Môi trường Đô thị Đà Nẵng
VCK,CTCP Chứng khoán VPS
DGT,CTCP Công trình Giao thông Đồng Nai
DVP,CTCP Đầu tư và Phát triển Cảng Đình Vũ
OCH,CTCP One Capital Hospitality
VCP,CTCP Xây Dựng Và Năng Lượng VCP
JVC,CTCP Đầu tư và Phát triển Y tế Việt Nhật
STP,CTCP Công nghiệp Thương mại Sông Đà
NKG,CTCP Thép Nam Kim
SD8,CTCP Sông Đà 8
LBE,CTCP Thương mại và Dịch vụ LVA
VCC,CTCP Vinaconex 25
CIP,CTCP Xây lắp và Sản xuất Công nghiệp
NDP,CTCP Dược phẩm 2/9
EBS,CTCP Sách Giáo dục tại Thành phố Hà Nội
PVX,Tổng Công ty cổ phần Xây lắp Dầu khí Việt Nam
UMC,CTCP Công trình Đô thị Nam Định
SBH,CTCP Thủy điện Sông Ba Hạ
BVG,CTCP Group Bắc Việt
PHN,CTCP Pin Hà Nội
DNC,CTCP Điện Nước Lắp máy Hải Phòng
PNP,CTCP Tân Cảng - Phú Hữu
HSP,CTCP Sơn Tổng hợp Hà Nội
QTP,CTCP Nhiệt điện Quảng Ninh
SPH,CTCP Xuất nhập khẩu Thủy sản Hà Nội
GSM,CTCP Thủy điện Hương Sơn
HWS,CTCP Cấp nước Huế
NSG,CTCP Nhựa Sài Gòn
TL4,Tổng Công ty cổ phần Xây dựng Thủy Lợi 4 - CTCP
AAA,CTCP Nhựa An Phát Xanh
MCF,CTCP Xây lắp Cơ khí và Lương thực Thực phẩm
KHS,CTCP Kiên Hùng
HAR,CTCP Đầu tư Thương mại Bất động sản An Dương Thảo Điền
PTT,CTCP Vận tải Dầu khí Đông Dương
CCV,CTCP Tư vấn Xây dựng Công nghiệp và Đô thị Việt Nam
TNB,CTCP Thép Nhà Bè - VNSTEEL
PCM,CTCP Vật liệu Xây dựng Bưu điện
LM7,CTCP Lilama 7
L40,CTCP Đầu Tư và Xây dựng 40
DVT,Trung tâm đào tạo nghiệp vụ Giao thông vận tải Bình Định
TNS,CTCP Thép tấm lá Thống Nhất
BMP,CTCP Nhựa Bình Minh
TCI,CTCP Chứng khoán Thành Công
VNP,CTCP Nhựa Việt Nam
TNG,CTCP Đầu tư và Thương mại TNG
FCC,CTCP Liên hợp Thực phẩm
BSR,CTCP - Tổng Công ty Lọc hóa dầu Việt Nam
CLC,CTCP Cát Lợi
VPL,CTCP Vinpearl
HIO,CTCP Helio Energy
PXS,CTCP Kết cấu Kim loại và Lắp máy Dầu khí
PVT,Tổng Công ty cổ phần Vận tải Dầu khí
ASG,CTCP Tập đoàn ASG
MCG,CTCP Năng lượng và Bất động sản MCG
MEC,CTCP Cơ khí - Lắp máy Sông Đà
CLM,CTCP Xuất nhập khẩu Than - Vinacomin
TCK,Tổng Công ty Cơ khí Xây dựng - CTCP
CHS,CTCP Chiếu sáng Công cộng Thành phố Hồ Chí Minh
KHP,CTCP Điện lực Khánh Hòa
HDW,CTCP Kinh doanh Nước sạch Hải Dương
BTU,CTCP Công trình Đô thị Bến Tre
DIG,Tổng Công ty cổ phần Đầu tư Phát triển Xây dựng
TBC,CTCP Thủy điện Thác Bà
C22,CTCP 22
DPC,CTCP Nhựa Đà Nẵng
VCE,CTCP Xây lắp Môi trường
HPW,CTCP Cấp nước Hải Phòng
APS,CTCP Chứng khoán Châu Á Thái Bình Dương
VE1,CTCP Xây dựng Điện VNECO 1
HD8,CTCP Đầu tư Phát triển Nhà và Đô thị HUD8
BBM,CTCP Bia Hà Nội - Nam Định
VFC,CTCP Vinafco
DXL,CTCP Du Lịch và Xuất nhập khẩu Lạng Sơn
SGR,CTCP Tổng CTCP Địa ốc Sài Gòn
BSG,CTCP Xe khách Sài Gòn
DC1,CTCP Đầu tư Phát triển Xây dựng Số 1
VBB,Ngân hàng TMCP Việt Nam Thương Tín
MPT,CTCP Tập đoàn MPT
TAH,CTCP Thương mại Dịch vụ Giấy Thuận An
VTZ,CTCP Sản xuất và Thương mại Nhựa Việt Thành
CI5,CTCP Đầu Tư Xây dựng Số 5
PPS,CTCP Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam
VTH,CTCP Dây cáp Điện Việt Thái
PMW,CTCP Cấp nước Phú Mỹ
DRC,CTCP Cao su Đà Nẵng
FID,CTCP Đầu tư và Phát triển Doanh nghiệp Việt Nam
GDW,CTCP Cấp nước Gia Định
MEF,CTCP MEINFA
PVY,CTCP Chế tạo Giàn khoan Dầu khí
SJS,CTCP SJ Group
VCR,CTCP Đầu tư và Phát triển Du lịch ITC
MIC,CTCP Kỹ nghệ Khoáng sản Quảng Nam
VCF,CTCP Vinacafé Biên Hòa
NHD,CTCP Dược phẩm Nam Hà
TST,CTCP Dịch vụ Kỹ Thuật Viễn thông
AGX,CTCP Thực phẩm Nông Sản xuất khẩu Sài Gòn
